Kreis;Bezirk;Miete
Kreis 1;Rathaus;540
Kreis 1;Hochschulen;540
Kreis 1;Lindenhof;540
Kreis 1;City;540
Kreis 2;Wollishofen;510
Kreis 2;Leimbach;510
Kreis 2;Enge;510
Kreis 3;Alt-Wiedikon;250
Kreis 3;Friesenberg;250
Kreis 3;Sihlfeld;250
Kreis 4;Werd;230
Kreis 4;Langstrasse;230
Kreis 4;Hard;230
Kreis 5;Gewerbeschule;259
Kreis 5;Escher Wyss;259
Kreis 6;Unterstrass;290
Kreis 6;Oberstrass;290
Kreis 7;Fluntern;352
Kreis 7;Hottingen;352
Kreis 7;Hirslanden;352
Kreis 7;Witikon;352
Kreis 8;Seefeld;415
Kreis 8;MŸhlebach;415
Kreis 8;Weinegg;415
Kreis 9;Albisrieden;215
Kreis 9;Altstetten;215
Kreis 10;Hšngg;298
Kreis 10;Wipkingen;298
Kreis 11;Affoltern;245
Kreis 11;Oerlikon;245
Kreis 11;Seebach;245
Kreis 12;Saatlen;272.5
Kreis 12;Schwamendingen-Mitte;272.5
Kreis 12;Hirzenbach;272.5
